I,V,R,P,mAh,wh,time,
0.0996,4.1860,42.0307,0.4169,14.8386,0.0623,   0: 8:57,
0.0996,4.1858,42.0186,0.4170,14.9632,0.0628,   0: 9: 2,
0.0995,4.1857,42.0814,0.4163,15.0883,0.0633,   0: 9: 6,
0.0995,4.1855,42.0490,0.4166,15.2129,0.0638,   0: 9:11,
0.0995,4.1853,42.0441,0.4166,15.3375,0.0644,   0: 9:15,
0.0995,4.1851,42.0489,0.4165,15.4620,0.0649,   0: 9:20,
0.0995,4.1850,42.0474,0.4165,15.5866,0.0654,   0: 9:24,
0.0996,4.1848,42.0120,0.4169,15.7117,0.0659,   0: 9:29,
0.0996,4.1847,42.0275,0.4167,15.8372,0.0665,   0: 9:33,
0.0995,4.1845,42.0425,0.4165,15.9618,0.0670,   0: 9:38,
0.0996,4.1844,41.9937,0.4169,16.0864,0.0675,   0: 9:42,
0.0996,4.1842,42.0124,0.4167,16.2110,0.0680,   0: 9:47,
0.0995,4.1840,42.0512,0.4163,16.3355,0.0685,   0: 9:51,
0.0995,4.1839,42.0431,0.4164,16.4601,0.0691,   0: 9:56,
0.0995,4.1837,42.0448,0.4163,16.5846,0.0696,   0:10: 0,
0.0995,4.1835,42.0327,0.4164,16.7091,0.0701,   0:10: 5,
0.0996,4.1834,42.0142,0.4165,16.8339,0.0706,   0:10: 9,
0.0995,4.1832,42.0264,0.4164,16.9584,0.0712,   0:10:14,
0.0996,4.1830,41.9940,0.4167,17.0829,0.0717,   0:10:18,
0.0995,4.1829,42.0230,0.4164,17.2075,0.0722,   0:10:23,
0.0995,4.1827,42.0485,0.4161,17.3326,0.0727,   0:10:27,
0.0996,4.1826,42.0030,0.4165,17.4571,0.0732,   0:10:32,
0.0996,4.1824,41.9945,0.4165,17.5816,0.0738,   0:10:36,
0.0995,4.1823,42.0268,0.4162,17.7067,0.0743,   0:10:41,
0.0995,4.1821,42.0220,0.4162,17.8313,0.0748,   0:10:45,
0.0995,4.1819,42.0405,0.4160,17.9568,0.0753,   0:10:50,
0.0995,4.1818,42.0254,0.4161,18.0814,0.0759,   0:10:54,
0.0996,4.1816,41.9831,0.4165,18.2059,0.0764,   0:10:59,
0.0995,4.1815,42.0052,0.4162,18.3304,0.0769,   0:11: 3,
0.0996,4.1813,41.9835,0.4164,18.4552,0.0774,   0:11: 8,
0.0996,4.1812,41.9821,0.4164,18.5798,0.0779,   0:11:12,
0.0996,4.1810,41.9602,0.4166,18.7044,0.0785,   0:11:17,
0.0995,4.1808,42.0294,0.4159,18.8290,0.0790,   0:11:21,
0.0995,4.1807,42.0110,0.4160,18.9535,0.0795,   0:11:26,
0.0996,4.1805,41.9859,0.4163,19.0781,0.0800,   0:11:30,
0.0996,4.1804,41.9572,0.4165,19.2033,0.0805,   0:11:35,
0.0997,4.1802,41.9255,0.4168,19.3279,0.0811,   0:11:39,
0.0996,4.1801,41.9511,0.4165,19.4527,0.0816,   0:11:44,
0.0995,4.1799,41.9966,0.4160,19.5783,0.0821,   0:11:49,
0.0995,4.1798,41.9950,0.4160,19.7028,0.0826,   0:11:53,
0.0995,4.1796,42.0037,0.4159,19.8279,0.0832,   0:11:58,
0.0995,4.1795,41.9887,0.4160,19.9524,0.0837,   0:12: 2,
0.0995,4.1794,41.9942,0.4159,20.0771,0.0842,   0:12: 7,
0.0995,4.1792,41.9992,0.4159,20.2016,0.0847,   0:12:11,
0.0995,4.1790,42.0009,0.4158,20.3262,0.0852,   0:12:16,
0.0995,4.1789,42.0030,0.4158,20.4506,0.0858,   0:12:20,
0.0995,4.1788,42.0052,0.4157,20.5752,0.0863,   0:12:25,
0.0996,4.1786,41.9730,0.4160,20.6997,0.0868,   0:12:29,
0.0995,4.1785,42.0054,0.4156,20.8248,0.0873,   0:12:34,
0.0995,4.1783,41.9732,0.4159,20.9499,0.0878,   0:12:38,
0.0996,4.1781,41.9347,0.4163,21.0744,0.0884,   0:12:43,
0.0995,4.1780,41.9839,0.4158,21.1995,0.0889,   0:12:47,
0.0995,4.1779,41.9690,0.4159,21.3241,0.0894,   0:12:52,
0.0996,4.1777,41.9438,0.4161,21.4493,0.0899,   0:12:56,
0.0996,4.1775,41.9421,0.4161,21.5738,0.0904,   0:13: 1,
0.0996,4.1774,41.9337,0.4161,21.6984,0.0910,   0:13: 5,
0.0996,4.1773,41.9530,0.4159,21.8232,0.0915,   0:13:10,
0.0996,4.1771,41.9478,0.4159,21.9477,0.0920,   0:13:14,
0.0996,4.1769,41.9463,0.4159,22.0728,0.0925,   0:13:19,
0.0996,4.1768,41.9381,0.4160,22.1974,0.0931,   0:13:23,
0.0996,4.1766,41.9298,0.4160,22.3219,0.0936,   0:13:28,
0.0996,4.1765,41.9351,0.4160,22.4465,0.0941,   0:13:32,
0.0995,4.1763,41.9673,0.4156,22.5711,0.0946,   0:13:37,
0.0996,4.1762,41.9220,0.4160,22.6956,0.0951,   0:13:41,
0.0996,4.1761,41.9311,0.4159,22.8203,0.0957,   0:13:46,
0.0996,4.1759,41.9158,0.4160,22.9449,0.0962,   0:13:50,
0.0997,4.1758,41.9044,0.4161,23.0696,0.0967,   0:13:55,
0.0995,4.1756,41.9602,0.4155,23.1941,0.0972,   0:13:59,
0.0995,4.1754,41.9616,0.4155,23.3197,0.0977,   0:14: 4,
0.0995,4.1753,41.9504,0.4156,23.4443,0.0983,   0:14: 8,
0.0995,4.1752,41.9589,0.4155,23.5688,0.0988,   0:14:13,
0.0996,4.1750,41.9339,0.4157,23.6933,0.0993,   0:14:17,
0.0996,4.1749,41.9256,0.4157,23.8179,0.0998,   0:14:22,
0.0996,4.1748,41.9245,0.4157,23.9425,0.1003,   0:14:26,
0.0996,4.1746,41.9194,0.4157,24.0672,0.1009,   0:14:31,
0.0996,4.1745,41.8944,0.4160,24.1918,0.1014,   0:14:35,
