I,V,R,P,mAh,wh,time,
0.0995,3.5836,36.0166,0.3566,1732.6710,6.7459,  17:22:38,
0.0995,3.5835,36.0103,0.3566,1732.7963,6.7464,  17:22:43,
0.0996,3.5835,35.9661,0.3570,1732.9215,6.7468,  17:22:47,
0.0996,3.5834,35.9856,0.3568,1733.0463,6.7473,  17:22:52,
0.0997,3.5833,35.9533,0.3571,1733.1710,6.7477,  17:22:56,
0.0997,3.5833,35.9556,0.3571,1733.2958,6.7481,  17:23: 1,
0.0997,3.5832,35.9347,0.3573,1733.4207,6.7486,  17:23: 5,
0.0997,3.5832,35.9515,0.3571,1733.5454,6.7490,  17:23:10,
0.0997,3.5831,35.9452,0.3572,1733.6710,6.7495,  17:23:14,
0.0997,3.5830,35.9359,0.3573,1733.7958,6.7499,  17:23:19,
0.0997,3.5830,35.9471,0.3571,1733.9207,6.7504,  17:23:23,
0.0996,3.5829,35.9607,0.3570,1734.0459,6.7508,  17:23:28,
0.0996,3.5829,35.9575,0.3570,1734.1708,6.7513,  17:23:32,
0.0997,3.5828,35.9538,0.3570,1734.2955,6.7517,  17:23:37,
0.0997,3.5828,35.9419,0.3571,1734.4203,6.7522,  17:23:41,
0.0996,3.5827,35.9845,0.3567,1734.5455,6.7526,  17:23:46,
0.0995,3.5827,36.0044,0.3565,1734.6703,6.7531,  17:23:50,
0.0995,3.5826,35.9894,0.3566,1734.7950,6.7535,  17:23:55,
0.0996,3.5825,35.9713,0.3568,1734.9198,6.7539,  17:23:59,
0.0996,3.5824,35.9820,0.3567,1735.0450,6.7544,  17:24: 4,
0.0996,3.5824,35.9732,0.3568,1735.1698,6.7548,  17:24: 8,
0.0995,3.5824,35.9870,0.3566,1735.2946,6.7553,  17:24:13,
0.0996,3.5823,35.9776,0.3567,1735.4194,6.7557,  17:24:17,
0.0995,3.5823,35.9858,0.3566,1735.5447,6.7562,  17:24:22,
0.0996,3.5822,35.9502,0.3569,1735.6694,6.7566,  17:24:26,
0.0997,3.5821,35.9469,0.3570,1735.7947,6.7571,  17:24:31,
0.0995,3.5821,36.0013,0.3564,1735.9198,6.7575,  17:24:36,
0.0996,3.5820,35.9661,0.3567,1736.0447,6.7580,  17:24:40,
0.0995,3.5820,36.0151,0.3563,1736.1694,6.7584,  17:24:45,
0.0995,3.5819,35.9853,0.3565,1736.2942,6.7589,  17:24:49,
0.0996,3.5819,35.9702,0.3567,1736.4189,6.7593,  17:24:54,
0.0995,3.5818,35.9956,0.3564,1736.5442,6.7597,  17:24:58,
0.0995,3.5817,35.9953,0.3564,1736.6689,6.7602,  17:25: 3,
0.0996,3.5817,35.9656,0.3567,1736.7937,6.7606,  17:25: 7,
0.0996,3.5816,35.9506,0.3568,1736.9189,6.7611,  17:25:12,
0.0997,3.5816,35.9386,0.3569,1737.0442,6.7615,  17:25:16,
0.0997,3.5815,35.9263,0.3570,1737.1689,6.7620,  17:25:21,
0.0995,3.5815,35.9868,0.3564,1737.2937,6.7624,  17:25:25,
0.0996,3.5814,35.9743,0.3565,1737.4185,6.7629,  17:25:30,
0.0996,3.5814,35.9567,0.3567,1737.5437,6.7633,  17:25:34,
0.0996,3.5813,35.9416,0.3568,1737.6685,6.7638,  17:25:39,
0.0996,3.5812,35.9408,0.3568,1737.7937,6.7642,  17:25:43,
0.0997,3.5812,35.9258,0.3570,1737.9185,6.7647,  17:25:48,
0.0996,3.5811,35.9626,0.3566,1738.0437,6.7651,  17:25:52,
0.0995,3.5811,35.9884,0.3563,1738.1686,6.7655,  17:25:57,
0.0996,3.5810,35.9589,0.3566,1738.2933,6.7660,  17:26: 1,
0.0996,3.5810,35.9468,0.3567,1738.4181,6.7664,  17:26: 6,
0.0996,3.5809,35.9636,0.3566,1738.5428,6.7669,  17:26:10,
0.0997,3.5808,35.9312,0.3569,1738.6681,6.7673,  17:26:15,
0.0995,3.5808,35.9740,0.3564,1738.7927,6.7678,  17:26:19,
0.0997,3.5807,35.9183,0.3570,1738.9180,6.7682,  17:26:24,
0.0995,3.5807,35.9730,0.3564,1739.0427,6.7687,  17:26:28,
0.0996,3.5806,35.9461,0.3567,1739.1675,6.7691,  17:26:33,
0.0997,3.5806,35.9313,0.3568,1739.2922,6.7696,  17:26:37,
0.0996,3.5805,35.9595,0.3565,1739.4171,6.7700,  17:26:42,
0.0995,3.5805,36.0026,0.3561,1739.5419,6.7705,  17:26:46,
0.0996,3.5803,35.9377,0.3567,1739.6671,6.7709,  17:26:51,
0.0996,3.5803,35.9491,0.3566,1739.7919,6.7713,  17:26:55,
0.0996,3.5803,35.9516,0.3565,1739.9171,6.7718,  17:27: 0,
0.0996,3.5802,35.9365,0.3567,1740.0419,6.7722,  17:27: 4,
0.0996,3.5802,35.9563,0.3565,1740.1672,6.7727,  17:27: 9,
0.0995,3.5801,35.9732,0.3563,1740.2920,6.7731,  17:27:13,
0.0996,3.5801,35.9522,0.3565,1740.4167,6.7736,  17:27:18,
0.0995,3.5800,35.9778,0.3562,1740.5420,6.7740,  17:27:22,
0.0995,3.5799,35.9858,0.3561,1740.6667,6.7745,  17:27:27,
0.0994,3.5799,36.0172,0.3558,1740.7915,6.7749,  17:27:31,
0.0996,3.5798,35.9383,0.3566,1740.9163,6.7754,  17:27:36,
0.0996,3.5798,35.9436,0.3565,1741.0410,6.7758,  17:27:40,
0.0996,3.5797,35.9488,0.3565,1741.1659,6.7762,  17:27:45,
0.0996,3.5797,35.9427,0.3565,1741.2910,6.7767,  17:27:49,
0.0996,3.5796,35.9247,0.3567,1741.4159,6.7771,  17:27:54,
0.0996,3.5796,35.9242,0.3567,1741.5413,6.7776,  17:27:59,
0.0996,3.5795,35.9262,0.3566,1741.6660,6.7780,  17:28: 3,
0.0996,3.5794,35.9489,0.3564,1741.7913,6.7785,  17:28: 8,
0.0995,3.5794,35.9629,0.3563,1741.9160,6.7789,  17:28:12,
0.0995,3.5793,35.9594,0.3563,1742.0408,6.7794,  17:28:17,
0.0995,3.5793,35.9644,0.3562,1742.1655,6.7798,  17:28:21,
0.0996,3.5792,35.9437,0.3564,1742.2903,6.7803,  17:28:26,
0.0995,3.5792,35.9635,0.3562,1742.4150,6.7807,  17:28:30,
0.0996,3.5791,35.9282,0.3565,1742.5399,6.7812,  17:28:35,
0.0997,3.5790,35.9069,0.3567,1742.6647,6.7816,  17:28:39,
0.0997,3.5790,35.9068,0.3567,1742.7894,6.7820,  17:28:44,
0.0996,3.5789,35.9263,0.3565,1742.9142,6.7825,  17:28:48,
0.0996,3.5788,35.9371,0.3564,1743.0394,6.7829,  17:28:53,
0.0996,3.5788,35.9196,0.3566,1743.1642,6.7834,  17:28:57,
0.0996,3.5788,35.9450,0.3563,1743.2889,6.7838,  17:29: 2,
0.0997,3.5787,35.8953,0.3568,1743.4142,6.7843,  17:29: 6,
0.0997,3.5786,35.8976,0.3568,1743.5389,6.7847,  17:29:11,
0.0996,3.5786,35.9466,0.3563,1743.6637,6.7852,  17:29:15,
0.0996,3.5785,35.9168,0.3565,1743.7891,6.7856,  17:29:20,
0.0997,3.5785,35.9020,0.3567,1743.9138,6.7861,  17:29:24,
0.0997,3.5784,35.8869,0.3568,1744.0387,6.7865,  17:29:29,
0.0995,3.5784,35.9527,0.3562,1744.1635,6.7870,  17:29:33,
0.0996,3.5783,35.9176,0.3565,1744.2882,6.7874,  17:29:38,
0.0996,3.5783,35.9111,0.3565,1744.4130,6.7878,  17:29:42,
0.0996,3.5782,35.9193,0.3565,1744.5377,6.7883,  17:29:47,
0.0996,3.5782,35.9420,0.3562,1744.6625,6.7887,  17:29:51,
0.0996,3.5781,35.9300,0.3563,1744.7874,6.7892,  17:29:56,
0.0996,3.5781,35.9176,0.3564,1744.9125,6.7896,  17:30: 0,
0.0996,3.5780,35.9140,0.3565,1745.0374,6.7901,  17:30: 5,
0.0995,3.5779,35.9482,0.3561,1745.1621,6.7905,  17:30: 9,
0.0997,3.5778,35.9040,0.3565,1745.2875,6.7910,  17:30:14,
0.0996,3.5778,35.9154,0.3564,1745.4122,6.7914,  17:30:18,
0.0996,3.5778,35.9235,0.3563,1745.5370,6.7919,  17:30:23,
0.0997,3.5777,35.9029,0.3565,1745.6617,6.7923,  17:30:27,
0.0996,3.5776,35.9048,0.3565,1745.7865,6.7927,  17:30:32,
0.0996,3.5776,35.9159,0.3564,1745.9113,6.7932,  17:30:36,
0.0996,3.5776,35.9270,0.3562,1746.0365,6.7936,  17:30:41,
0.0996,3.5775,35.9062,0.3564,1746.1617,6.7941,  17:30:45,
0.0996,3.5774,35.9056,0.3564,1746.2865,6.7945,  17:30:50,
0.0995,3.5774,35.9426,0.3561,1746.4114,6.7950,  17:30:54,
0.0996,3.5773,35.9073,0.3564,1746.5361,6.7954,  17:30:59,
0.0996,3.5773,35.9242,0.3562,1746.6609,6.7959,  17:31: 3,
0.0996,3.5773,35.9009,0.3564,1746.7856,6.7963,  17:31: 8,
0.0996,3.5772,35.9000,0.3564,1746.9104,6.7968,  17:31:12,
0.0997,3.5771,35.8618,0.3568,1747.0352,6.7972,  17:31:17,
0.0996,3.5770,35.9249,0.3562,1747.1605,6.7977,  17:31:21,
0.0996,3.5770,35.9042,0.3564,1747.2853,6.7981,  17:31:26,
0.0996,3.5770,35.9182,0.3562,1747.4102,6.7985,  17:31:30,
0.0996,3.5769,35.9147,0.3562,1747.5353,6.7990,  17:31:35,
0.0996,3.5768,35.9197,0.3562,1747.6602,6.7994,  17:31:39,
0.0996,3.5768,35.9077,0.3563,1747.7849,6.7999,  17:31:44,
0.0996,3.5767,35.9100,0.3562,1747.9097,6.8003,  17:31:48,
0.0995,3.5766,35.9440,0.3559,1748.0344,6.8008,  17:31:53,
0.0996,3.5766,35.9231,0.3561,1748.1592,6.8012,  17:31:57,
0.0996,3.5765,35.9139,0.3562,1748.2839,6.8017,  17:32: 2,
0.0996,3.5765,35.9221,0.3561,1748.4092,6.8021,  17:32: 6,
0.0996,3.5764,35.9043,0.3563,1748.5339,6.8026,  17:32:11,
0.0995,3.5764,35.9298,0.3560,1748.6592,6.8030,  17:32:15,
0.0996,3.5763,35.9034,0.3562,1748.7839,6.8034,  17:32:20,
0.0995,3.5763,35.9319,0.3560,1748.9088,6.8039,  17:32:25,
0.0996,3.5762,35.9051,0.3562,1749.0339,6.8043,  17:32:29,
0.0996,3.5762,35.8989,0.3563,1749.1588,6.8048,  17:32:34,
0.0996,3.5761,35.9070,0.3562,1749.2836,6.8052,  17:32:38,
0.0996,3.5761,35.9207,0.3560,1749.4088,6.8057,  17:32:43,
0.0994,3.5760,35.9725,0.3555,1749.5336,6.8061,  17:32:47,
0.0995,3.5759,35.9254,0.3559,1749.6583,6.8066,  17:32:52,
0.0996,3.5759,35.9161,0.3560,1749.7831,6.8070,  17:32:56,
0.0996,3.5758,35.9099,0.3561,1749.9083,6.8075,  17:33: 1,
0.0996,3.5758,35.9096,0.3561,1750.0331,6.8079,  17:33: 5,
0.0996,3.5758,35.9119,0.3560,1750.1578,6.8084,  17:33:10,
0.0996,3.5757,35.9139,0.3560,1750.2827,6.8088,  17:33:14,
0.0997,3.5757,35.8820,0.3563,1750.4075,6.8092,  17:33:19,
0.0996,3.5756,35.9128,0.3560,1750.5322,6.8097,  17:33:23,
0.0995,3.5755,35.9355,0.3558,1750.6570,6.8101,  17:33:28,
0.0995,3.5755,35.9205,0.3559,1750.7822,6.8106,  17:33:32,
0.0996,3.5754,35.8909,0.3562,1750.9075,6.8110,  17:33:37,
0.0996,3.5753,35.8875,0.3562,1751.0322,6.8115,  17:33:41,
0.0996,3.5753,35.8841,0.3562,1751.1570,6.8119,  17:33:46,
0.0995,3.5752,35.9268,0.3558,1751.2817,6.8124,  17:33:50,
0.0996,3.5752,35.8888,0.3562,1751.4065,6.8128,  17:33:55,
0.0996,3.5751,35.8997,0.3560,1751.5314,6.8133,  17:33:59,
0.0996,3.5751,35.8877,0.3561,1751.6561,6.8137,  17:34: 4,
0.0996,3.5750,35.9073,0.3559,1751.7809,6.8141,  17:34: 8,
0.0995,3.5749,35.9153,0.3558,1751.9056,6.8146,  17:34:13,
0.0996,3.5749,35.8949,0.3560,1752.0304,6.8150,  17:34:17,
0.0997,3.5749,35.8597,0.3564,1752.1552,6.8155,  17:34:22,
0.0996,3.5748,35.8996,0.3560,1752.2800,6.8159,  17:34:26,
0.0996,3.5747,35.8787,0.3562,1752.4048,6.8164,  17:34:31,
0.0996,3.5747,35.8898,0.3560,1752.5295,6.8168,  17:34:35,
0.0995,3.5747,35.9153,0.3558,1752.6543,6.8173,  17:34:40,
0.0996,3.5746,35.8798,0.3561,1752.7797,6.8177,  17:34:44,
0.0997,3.5745,35.8709,0.3562,1752.9044,6.8182,  17:34:49,
0.0997,3.5745,35.8701,0.3562,1753.0292,6.8186,  17:34:53,
0.0995,3.5744,35.9073,0.3558,1753.1539,6.8190,  17:34:58,
0.0996,3.5743,35.8920,0.3560,1753.2788,6.8195,  17:35: 2,
0.0995,3.5743,35.9206,0.3557,1753.4036,6.8199,  17:35: 7,
0.0995,3.5743,35.9230,0.3556,1753.5283,6.8204,  17:35:11,
0.0996,3.5742,35.8994,0.3559,1753.6531,6.8208,  17:35:16,
0.0996,3.5741,35.8812,0.3560,1753.7778,6.8213,  17:35:20,
0.0995,3.5741,35.9386,0.3554,1753.9031,6.8217,  17:35:25,
0.0995,3.5740,35.9177,0.3556,1754.0278,6.8222,  17:35:29,
0.0996,3.5740,35.8738,0.3561,1754.1536,6.8226,  17:35:34,
0.0994,3.5739,35.9487,0.3553,1754.2783,6.8231,  17:35:38,
0.0996,3.5739,35.8845,0.3559,1754.4031,6.8235,  17:35:43,
0.0996,3.5738,35.8893,0.3559,1754.5278,6.8240,  17:35:47,
0.0996,3.5738,35.8947,0.3558,1754.6531,6.8244,  17:35:52,
0.0996,3.5737,35.8857,0.3559,1754.7778,6.8248,  17:35:56,
0.0995,3.5737,35.9052,0.3557,1754.9026,6.8253,  17:36: 1,
0.0996,3.5736,35.8703,0.3560,1755.0275,6.8257,  17:36: 5,
0.0996,3.5736,35.8871,0.3559,1755.1522,6.8262,  17:36:10,
0.0996,3.5735,35.8748,0.3560,1755.2770,6.8266,  17:36:14,
0.0995,3.5735,35.9004,0.3557,1755.4017,6.8271,  17:36:19,
0.0996,3.5734,35.8682,0.3560,1755.5265,6.8275,  17:36:23,
0.0996,3.5733,35.8615,0.3561,1755.6512,6.8280,  17:36:28,
0.0997,3.5733,35.8554,0.3561,1755.7761,6.8284,  17:36:32,
0.0995,3.5732,35.8952,0.3557,1755.9009,6.8289,  17:36:37,
0.0996,3.5732,35.8831,0.3558,1756.0256,6.8293,  17:36:41,
0.0997,3.5731,35.8479,0.3561,1756.1504,6.8297,  17:36:46,
0.0995,3.5731,35.9052,0.3556,1756.2756,6.8302,  17:36:50,
0.0995,3.5730,35.9044,0.3556,1756.4004,6.8306,  17:36:55,
0.0996,3.5729,35.8778,0.3558,1756.5261,6.8311,  17:37: 0,
0.0996,3.5729,35.8801,0.3558,1756.6509,6.8315,  17:37: 4,
0.0995,3.5728,35.9144,0.3554,1756.7761,6.8320,  17:37: 9,
0.0996,3.5728,35.8763,0.3558,1756.9009,6.8324,  17:37:13,
0.0996,3.5728,35.8674,0.3559,1757.0256,6.8329,  17:37:18,
0.0996,3.5727,35.8665,0.3559,1757.1504,6.8333,  17:37:22,
0.0996,3.5726,35.8601,0.3559,1757.2751,6.8338,  17:37:27,
0.0997,3.5726,35.8509,0.3560,1757.4000,6.8342,  17:37:31,
0.0995,3.5725,35.8879,0.3556,1757.5248,6.8347,  17:37:36,
0.0997,3.5724,35.8499,0.3560,1757.6500,6.8351,  17:37:40,
0.0996,3.5724,35.8691,0.3558,1757.7748,6.8355,  17:37:45,
0.0996,3.5723,35.8514,0.3560,1757.8995,6.8360,  17:37:49,
0.0996,3.5723,35.8538,0.3559,1758.0243,6.8364,  17:37:54,
0.0996,3.5722,35.8790,0.3557,1758.1490,6.8369,  17:37:58,
0.0996,3.5722,35.8529,0.3559,1758.2738,6.8373,  17:38: 3,
0.0996,3.5721,35.8637,0.3558,1758.3990,6.8378,  17:38: 7,
0.0996,3.5720,35.8545,0.3559,1758.5243,6.8382,  17:38:12,
0.0996,3.5720,35.8683,0.3557,1758.6490,6.8387,  17:38:16,
0.0996,3.5719,35.8678,0.3557,1758.7738,6.8391,  17:38:21,
0.0996,3.5719,35.8700,0.3557,1758.8987,6.8396,  17:38:25,
0.0996,3.5718,35.8784,0.3556,1759.0234,6.8400,  17:38:30,
0.0997,3.5718,35.8286,0.3561,1759.1482,6.8404,  17:38:34,
0.0996,3.5717,35.8541,0.3558,1759.2729,6.8409,  17:38:39,
0.0997,3.5716,35.8389,0.3559,1759.3977,6.8413,  17:38:43,
0.0997,3.5716,35.8212,0.3561,1759.5225,6.8418,  17:38:48,
0.0996,3.5715,35.8664,0.3556,1759.6477,6.8422,  17:38:52,
0.0996,3.5715,35.8605,0.3557,1759.7729,6.8427,  17:38:57,
0.0996,3.5714,35.8655,0.3556,1759.8982,6.8431,  17:39: 1,
0.0995,3.5714,35.8824,0.3555,1760.0229,6.8436,  17:39: 6,
0.0996,3.5713,35.8529,0.3557,1760.1477,6.8440,  17:39:10,
0.0995,3.5713,35.8756,0.3555,1760.2734,6.8445,  17:39:15,
0.0996,3.5712,35.8662,0.3556,1760.3982,6.8449,  17:39:19,
0.0996,3.5712,35.8513,0.3557,1760.5229,6.8454,  17:39:24,
0.0995,3.5711,35.8852,0.3554,1760.6477,6.8458,  17:39:28,
0.0994,3.5710,35.9164,0.3551,1760.7729,6.8463,  17:39:33,
0.0996,3.5710,35.8521,0.3557,1760.8977,6.8467,  17:39:37,
0.0996,3.5709,35.8631,0.3556,1761.0226,6.8471,  17:39:42,
0.0996,3.5708,35.8539,0.3556,1761.1473,6.8476,  17:39:46,
0.0996,3.5708,35.8591,0.3556,1761.2721,6.8480,  17:39:51,
0.0997,3.5707,35.8097,0.3561,1761.3969,6.8485,  17:39:55,
0.0996,3.5707,35.8438,0.3557,1761.5221,6.8489,  17:40: 0,
0.0996,3.5706,35.8430,0.3557,1761.6473,6.8494,  17:40: 4,
0.0995,3.5706,35.8944,0.3552,1761.7721,6.8498,  17:40: 9,
0.0996,3.5705,35.8446,0.3557,1761.8969,6.8503,  17:40:13,
0.0995,3.5704,35.8758,0.3553,1762.0216,6.8507,  17:40:18,
0.0995,3.5704,35.8783,0.3553,1762.1473,6.8512,  17:40:23,
0.0995,3.5703,35.8863,0.3552,1762.2721,6.8516,  17:40:27,
0.0995,3.5702,35.8854,0.3552,1762.3969,6.8520,  17:40:32,
0.0996,3.5702,35.8387,0.3557,1762.5216,6.8525,  17:40:36,
0.0996,3.5701,35.8412,0.3556,1762.6465,6.8529,  17:40:41,
0.0994,3.5701,35.9043,0.3550,1762.7712,6.8534,  17:40:45,
0.0995,3.5700,35.8979,0.3550,1762.8960,6.8538,  17:40:50,
0.0995,3.5700,35.8654,0.3553,1763.0208,6.8543,  17:40:54,
0.0996,3.5699,35.8535,0.3555,1763.1455,6.8547,  17:40:59,
0.0996,3.5699,35.8414,0.3556,1763.2708,6.8552,  17:41: 3,
0.0995,3.5698,35.8871,0.3551,1763.3960,6.8556,  17:41: 8,
0.0996,3.5698,35.8432,0.3555,1763.5208,6.8561,  17:41:12,
0.0995,3.5697,35.8800,0.3552,1763.6455,6.8565,  17:41:17,
0.0996,3.5697,35.8362,0.3556,1763.7708,6.8570,  17:41:21,
0.0995,3.5696,35.8615,0.3553,1763.8955,6.8574,  17:41:26,
0.0994,3.5695,35.8986,0.3549,1764.0212,6.8578,  17:41:30,
0.0996,3.5695,35.8488,0.3554,1764.1460,6.8583,  17:41:35,
0.0997,3.5694,35.8137,0.3558,1764.2708,6.8587,  17:41:39,
0.0996,3.5694,35.8506,0.3554,1764.3955,6.8592,  17:41:44,
0.0997,3.5693,35.8125,0.3557,1764.5203,6.8596,  17:41:48,
0.0996,3.5693,35.8524,0.3553,1764.6451,6.8601,  17:41:53,
0.0996,3.5692,35.8435,0.3554,1764.7699,6.8605,  17:41:57,
0.0996,3.5691,35.8338,0.3555,1764.8947,6.8610,  17:42: 2,
0.0996,3.5691,35.8505,0.3553,1765.0199,6.8614,  17:42: 6,
0.0996,3.5690,35.8241,0.3556,1765.1447,6.8619,  17:42:11,
0.0995,3.5690,35.8669,0.3551,1765.2694,6.8623,  17:42:15,
0.0995,3.5689,35.8723,0.3551,1765.3942,6.8627,  17:42:20,
0.0995,3.5688,35.8714,0.3551,1765.5189,6.8632,  17:42:24,
0.0995,3.5688,35.8564,0.3552,1765.6438,6.8636,  17:42:29,
0.0996,3.5687,35.8471,0.3553,1765.7690,6.8641,  17:42:33,
0.0996,3.5687,35.8437,0.3553,1765.8942,6.8645,  17:42:38,
0.0996,3.5686,35.8140,0.3556,1766.0190,6.8650,  17:42:42,
0.0995,3.5685,35.8653,0.3551,1766.1438,6.8654,  17:42:47,
0.0996,3.5685,35.8448,0.3553,1766.2686,6.8659,  17:42:51,
0.0995,3.5685,35.8474,0.3552,1766.3933,6.8663,  17:42:56,
0.0995,3.5684,35.8497,0.3552,1766.5181,6.8668,  17:43: 0,
0.0996,3.5683,35.8345,0.3553,1766.6428,6.8672,  17:43: 5,
0.0996,3.5683,35.8368,0.3553,1766.7677,6.8677,  17:43: 9,
0.0995,3.5682,35.8506,0.3551,1766.8925,6.8681,  17:43:14,
0.0995,3.5682,35.8675,0.3550,1767.0172,6.8685,  17:43:18,
0.0996,3.5681,35.8265,0.3554,1767.1425,6.8690,  17:43:23,
0.0997,3.5681,35.8000,0.3556,1767.2677,6.8694,  17:43:27,
0.0996,3.5680,35.8340,0.3553,1767.3925,6.8699,  17:43:32,
0.0996,3.5679,35.8216,0.3554,1767.5172,6.8703,  17:43:36,
0.0996,3.5679,35.8386,0.3552,1767.6425,6.8708,  17:43:41,
0.0996,3.5678,35.8205,0.3554,1767.7677,6.8712,  17:43:45,
0.0996,3.5677,35.8286,0.3553,1767.8928,6.8717,  17:43:50,
0.0996,3.5677,35.8310,0.3552,1768.0177,6.8721,  17:43:54,
0.0996,3.5676,35.8130,0.3554,1768.1425,6.8726,  17:43:59,
0.0996,3.5676,35.8327,0.3552,1768.2672,6.8730,  17:44: 3,
0.0997,3.5675,35.7944,0.3556,1768.3920,6.8735,  17:44: 8,
0.0998,3.5674,35.7564,0.3559,1768.5178,6.8739,  17:44:13,
0.0996,3.5674,35.8048,0.3554,1768.6426,6.8743,  17:44:17,
0.0996,3.5673,35.8070,0.3554,1768.7673,6.8748,  17:44:22,
0.0997,3.5673,35.7835,0.3556,1768.8926,6.8752,  17:44:26,
0.0995,3.5672,35.8609,0.3548,1769.0173,6.8757,  17:44:31,
0.0996,3.5672,35.8200,0.3552,1769.1421,6.8761,  17:44:35,
0.0996,3.5671,35.8134,0.3553,1769.2668,6.8766,  17:44:40,
0.0996,3.5671,35.8016,0.3554,1769.3921,6.8770,  17:44:44,
0.0995,3.5670,35.8412,0.3550,1769.5173,6.8775,  17:44:49,
0.0995,3.5670,35.8524,0.3549,1769.6426,6.8779,  17:44:53,
0.0995,3.5669,35.8318,0.3551,1769.7673,6.8784,  17:44:58,
0.0996,3.5668,35.8021,0.3553,1769.8931,6.8788,  17:45: 2,
0.0996,3.5668,35.7957,0.3554,1770.0183,6.8793,  17:45: 7,
0.0995,3.5667,35.8412,0.3549,1770.1431,6.8797,  17:45:11,
0.0997,3.5666,35.7885,0.3554,1770.2678,6.8801,  17:45:16,
0.0997,3.5665,35.7791,0.3555,1770.3931,6.8806,  17:45:20,
0.0995,3.5665,35.8308,0.3550,1770.5178,6.8810,  17:45:25,
0.0995,3.5665,35.8301,0.3550,1770.6426,6.8815,  17:45:29,
0.0995,3.5664,35.8298,0.3550,1770.7673,6.8819,  17:45:34,
0.0997,3.5664,35.7888,0.3554,1770.8921,6.8824,  17:45:38,
0.0995,3.5663,35.8427,0.3548,1771.0173,6.8828,  17:45:43,
0.0995,3.5662,35.8366,0.3549,1771.1421,6.8833,  17:45:47,
0.0995,3.5662,35.8301,0.3549,1771.2670,6.8837,  17:45:52,
0.0996,3.5661,35.8149,0.3551,1771.3917,6.8842,  17:45:56,
0.0996,3.5661,35.7914,0.3553,1771.5178,6.8846,  17:46: 1,
0.0996,3.5660,35.7996,0.3552,1771.6431,6.8851,  17:46: 5,
0.0996,3.5660,35.8021,0.3552,1771.7678,6.8855,  17:46:10,
0.0996,3.5659,35.7898,0.3553,1771.8926,6.8860,  17:46:14,
0.0997,3.5658,35.7777,0.3554,1772.0173,6.8864,  17:46:19,
0.0996,3.5658,35.7971,0.3552,1772.1421,6.8868,  17:46:23,
0.0996,3.5657,35.8165,0.3550,1772.2670,6.8873,  17:46:28,
0.0996,3.5657,35.7932,0.3552,1772.3917,6.8877,  17:46:32,
0.0996,3.5656,35.7951,0.3552,1772.5165,6.8882,  17:46:37,
0.0996,3.5655,35.7862,0.3552,1772.6412,6.8886,  17:46:41,
0.0995,3.5655,35.8433,0.3547,1772.7660,6.8891,  17:46:46,
0.0996,3.5654,35.8079,0.3550,1772.8907,6.8895,  17:46:50,
0.0996,3.5654,35.8103,0.3550,1773.0160,6.8900,  17:46:55,
0.0996,3.5653,35.7987,0.3551,1773.1409,6.8904,  17:46:59,
0.0997,3.5653,35.7720,0.3553,1773.2660,6.8909,  17:47: 4,
0.0997,3.5652,35.7712,0.3553,1773.3912,6.8913,  17:47: 9,
0.0995,3.5651,35.8168,0.3549,1773.5160,6.8917,  17:47:13,
0.0996,3.5650,35.8072,0.3549,1773.6409,6.8922,  17:47:18,
0.0996,3.5650,35.7922,0.3551,1773.7656,6.8926,  17:47:22,
0.0995,3.5650,35.8121,0.3549,1773.8904,6.8931,  17:47:27,
0.0996,3.5649,35.8029,0.3550,1774.0151,6.8935,  17:47:31,
0.0996,3.5648,35.8051,0.3549,1774.1399,6.8940,  17:47:36,
0.0996,3.5648,35.7932,0.3550,1774.2646,6.8944,  17:47:40,
0.0996,3.5647,35.7952,0.3550,1774.3895,6.8949,  17:47:45,
0.0996,3.5646,35.7800,0.3551,1774.5143,6.8953,  17:47:49,
0.0995,3.5645,35.8195,0.3547,1774.6395,6.8958,  17:47:54,
0.0996,3.5645,35.7958,0.3549,1774.7643,6.8962,  17:47:58,
0.0996,3.5644,35.7896,0.3550,1774.8895,6.8966,  17:48: 3,
0.0996,3.5644,35.7749,0.3551,1775.0143,6.8971,  17:48: 7,
0.0996,3.5643,35.8002,0.3549,1775.1390,6.8975,  17:48:12,
0.0995,3.5643,35.8082,0.3548,1775.2643,6.8980,  17:48:16,
0.0995,3.5642,35.8221,0.3546,1775.3890,6.8984,  17:48:21,
0.0996,3.5642,35.7839,0.3550,1775.5138,6.8989,  17:48:25,
0.0996,3.5641,35.8006,0.3548,1775.6385,6.8993,  17:48:30,
0.0995,3.5641,35.8117,0.3547,1775.7633,6.8998,  17:48:34,
0.0996,3.5640,35.7907,0.3549,1775.8882,6.9002,  17:48:39,
0.0997,3.5639,35.7384,0.3554,1776.0129,6.9007,  17:48:43,
0.0996,3.5638,35.7865,0.3549,1776.1382,6.9011,  17:48:48,
0.0996,3.5638,35.7947,0.3548,1776.2629,6.9016,  17:48:52,
0.0996,3.5637,35.7711,0.3550,1776.3877,6.9020,  17:48:57,
0.0996,3.5637,35.7933,0.3548,1776.5125,6.9024,  17:49: 1,
0.0995,3.5636,35.8218,0.3545,1776.6372,6.9029,  17:49: 6,
0.0997,3.5635,35.7346,0.3554,1776.7625,6.9033,  17:49:10,
0.0997,3.5635,35.7601,0.3551,1776.8872,6.9038,  17:49:15,
0.0996,3.5634,35.7825,0.3549,1777.0120,6.9042,  17:49:19,
0.0995,3.5634,35.7991,0.3547,1777.1372,6.9047,  17:49:24,
